Travel ID,Card Type,Weekday,Date,Departure City,Departure,Check-out,Arrival City,Destination,Type,Product
130,Student,7,2021-11-06,Amsterdam,Centraal Station,18:24,Amsterdam,Noord,Metro,Student Week Korting (2e klas)
128,Student,7,2021-11-06,Amsterdam,Hilversumstraat,10:48,Amsterdam,Station Noord,Bus,Student Week Korting (2e klas)
129,Student,7,2021-11-06,Amsterdam,Noord,11:00,Amsterdam,Vijzelgracht,Metro,Student Week Korting (2e klas)
131,Student,7,2021-11-06,Amsterdam,Station Noord,18:42,Amsterdam,Hilversumstraat,Bus,Student Week Korting (2e klas)
1011,Personal,1,2021-11-07,Amsterdam,Amsterdam Zuid,10:58,Den Haag,Den Haag Centraal,Train,Reizen op Rekening Trein
1012,Personal,1,2021-11-07,Den Haag,Den Haag Centraal,11:49,Den Haag,Den Haag Laan Van NOI,Train,Reizen op Rekening Trein
132,Student,1,2021-11-07,Amsterdam,Hilversumstraat,9:36,Amsterdam,Station Noord,Bus,Student Week Korting (2e klas)
133,Student,1,2021-11-07,Amsterdam,Noord,9:58,Amsterdam,Station Zuid,Metro,Student Week Korting (2e klas)
134,Student,1,2021-11-07,Den Haag,Station Laan van NOI,12:01,Voorburg,Voorburg Rozenboomlaan,Bus,Student Week Korting (2e klas)
138,Student,2,2021-11-08,Utrecht,Utrecht Centraal,23:12,Voorburg,Voorburg,Train,Student Week Vrij (2e klas)
136,Student,2,2021-11-08,Utrecht,Utrecht CS Centrumzijde (Perron A1),14:57,Utrecht,Utrecht Janskerkhof,Bus,Student Week Vrij (2e klas)
137,Student,2,2021-11-08,Utrecht,Utrecht Janskerkhof,21:58,Utrecht,Utrecht CS Jaarbeurszijde (Perron C1),Tram,Student Week Vrij (2e klas)
135,Student,2,2021-11-08,Voorburg,Voorburg,14:49,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2e klas)
143,Student,5,2021-11-11,Utrecht,Utrecht Centraal,17:42,Voorburg,Voorburg,Train,Student Week Vrij (2e klas)
140,Student,5,2021-11-11,Utrecht,Utrecht CS Centrumzijde,9:42,Utrecht,Utrecht P+R Science Park,Tram,Student Week Vrij (2e klas)
142,Student,5,2021-11-11,Utrecht,Utrecht Heidelberglaan,16:32,Utrecht,Utrecht CS Centrumzijde,Tram,Student Week Vrij (2e klas)
141,Student,5,2021-11-11,Utrecht,Utrecht P+R Science Park,13:40,Utrecht,Utrecht Heidelberglaan,Tram,Student Week Vrij (2e klas)
139,Student,5,2021-11-11,Voorburg,Voorburg,9:19,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2e klas)
1016,Personal,6,2021-11-12,Eindhoven,Eindhoven Centraal,21:16,Eindhoven,Eindhoven Centraal,Train,Reizen op Rekening Trein
1015,Personal,6,2021-11-12,Eindhoven,Eindhoven Strijp-S,20:26,Eindhoven,Eindhoven Centraal,Train,Reizen op Rekening Trein
1014,Personal,6,2021-11-12,Utrecht,Utrecht Centraal,11:38,Eindhoven,Eindhoven Centraal,Train,Reizen op Rekening Trein
1013,Personal,6,2021-11-12,Voorburg,Voorburg,10:04,Utrecht,Utrecht Centraal,Train,Reizen op Rekening Trein
1017,Personal,1,2021-11-14,Eindhoven,Eindhoven Centraal,14:42,Voorburg,Voorburg,Train,Reizen op Rekening Trein
147,Student,3,2021-11-16,Utrecht,Utrecht Centraal,16:12,Voorburg,Voorburg,Train,Student Week Vrij (2e klas)
145,Student,3,2021-11-16,Utrecht,Utrecht CS Centrumzijde,11:04,Utrecht,Utrecht Padualaan,Tram,Student Week Vrij (2e klas)
146,Student,3,2021-11-16,Utrecht,Utrecht Padualaan,15:22,Utrecht,Utrecht CS Centrumzijde,Tram,Student Week Vrij (2e klas)
144,Student,3,2021-11-16,Voorburg,Voorburg,10:49,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2e klas)
152,Student,4,2021-11-17,Utrecht,Utrecht Centraal,16:16,Voorburg,Voorburg,Train,Student Week Vrij (2e klas)
150,Student,4,2021-11-17,Utrecht,Utrecht CS Centrumzijde,8:36,Utrecht,Utrecht Heidelberglaan,Tram,Student Week Vrij (2e klas)
151,Student,4,2021-11-17,Utrecht,Utrecht Heidelberglaan,15:19,Utrecht,Utrecht CS Centrumzijde,Tram,Student Week Vrij (2e klas)
149,Student,4,2021-11-17,Voorburg,Voorburg,8:18,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2e klas)
148,Student,4,2021-11-17,Voorburg,Voorburg Rozenboomlaan,7:23,Voorburg,Voorburg Station,Bus,Student Week Vrij (2e klas)
153,Student,6,2021-11-19,Den Haag,Den Haag Laan Van NOI,16:24,Amsterdam,Amsterdam Zuid,Train,Student Week Vrij (2e klas)
155,Student,6,2021-11-19,Amsterdam,Station Noord,16:56,Amsterdam,Hilversumstraat,Bus,Student Week Vrij (2e klas)
154,Student,6,2021-11-19,Amsterdam,Station Zuid,16:46,Amsterdam,Noord,Metro,Student Week Vrij (2e klas)
1021,Personal,7,2021-11-20,Amsterdam,Amsterdam Centraal,19:55,Den Haag,Den Haag Laan Van NOI,Train,Reizen op Rekening Trein
156,Student,7,2021-11-20,Amsterdam,Hilversumstraat,12:10,Amsterdam,Station Noord,Bus,Student Week Korting (2e klas)
1018,Personal,7,2021-11-20,Amsterdam,Hilversumstraat,18:36,Amsterdam,Station Noord,Bus,Reizen op Rekening Bus Tram Metro
1019,Personal,7,2021-11-20,Amsterdam,Noord,18:39,Amsterdam,Noord,Metro,Reizen op Rekening Bus Tram Metro
157,Student,7,2021-11-20,Amsterdam,Noord,12:20,Amsterdam,Rokin,Metro,Student Week Korting (2e klas)
158,Student,7,2021-11-20,Amsterdam,Rokin,14:31,Amsterdam,Noord,Metro,Student Week Korting (2e klas)
159,Student,7,2021-11-20,Amsterdam,Station Noord,14:39,Amsterdam,Hilversumstraat,Bus,Student Week Korting (2e klas)
163,Student,2,2021-11-22,Utrecht,Utrecht Centraal,16:12,Voorburg,Voorburg,Train,Student Week Vrij (2e klas)
161,Student,2,2021-11-22,Utrecht,Utrecht CS Centrumzijde,7:35,Utrecht,Utrecht Heidelberglaan,Tram,Student Week Vrij (2e klas)
162,Student,2,2021-11-22,Utrecht,Utrecht Padualaan,15:17,Utrecht,Utrecht CS Centrumzijde,Tram,Student Week Vrij (2e klas)
160,Student,2,2021-11-22,Voorburg,Voorburg,7:17,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2e klas)
166,Student,5,2021-11-25,Utrecht,Utrecht Botanische Tuinen,10:22,Utrecht,Station Overvecht (Perron C),Tram,Student Week Vrij (2e klas)
168,Student,5,2021-11-25,Utrecht,Utrecht Centraal,14:42,Voorburg,Voorburg,Train,Student Week Vrij (2e klas)
165,Student,5,2021-11-25,Utrecht,Utrecht CS Centrumzijde,8:21,Utrecht,Utrecht Heidelberglaan,Tram,Student Week Vrij (2e klas)
167,Student,5,2021-11-25,Utrecht,Utrecht Zamenhofdreef (Perron C),13:53,Utrecht,Utrecht CS Centrumzijde (Perron A1),Bus,Student Week Vrij (2e klas)
164,Student,5,2021-11-25,Voorburg,Voorburg,8:04,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2e klas)
1023,Personal,7,2021-11-27,Den Haag,Den Haag Moerwijk,23:17,Voorburg,Voorburg,Train,Reizen op Rekening Trein
1022,Personal,7,2021-11-27,Voorburg,Voorburg,18:02,Den Haag,Den Haag Moerwijk,Train,Reizen op Rekening Trein
170,Student,2,2021-11-29,Gouda,Gouda,7:47,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2e klas)
173,Student,2,2021-11-29,Utrecht,Utrecht Centraal,16:29,Voorburg,Voorburg,Train,Student Week Vrij (2e klas)
171,Student,2,2021-11-29,Utrecht,Utrecht CS Centrumzijde,8:01,Utrecht,Utrecht Padualaan,Tram,Student Week Vrij (2e klas)
172,Student,2,2021-11-29,Utrecht,Utrecht Padualaan,15:29,Utrecht,Utrecht CS Centrumzijde,Tram,Student Week Vrij (2e klas)
169,Student,2,2021-11-29,Voorburg,Voorburg,7:26,Gouda,Gouda,Train,Student Week Vrij (2e klas)
174,Student,3,2021-11-30,Voorburg,Rozenboomlaan,6:59,Voorburg,Voorburg Station,Bus,Student Week Vrij (2e klas)
178,Student,3,2021-11-30,Utrecht,Utrecht Centraal,16:18,Voorburg,Voorburg,Train,Student Week Vrij (2e klas)
176,Student,3,2021-11-30,Utrecht,Utrecht CS Centrumzijde,7:59,Utrecht,Utrecht Padualaan,Tram,Student Week Vrij (2e klas)
177,Student,3,2021-11-30,Utrecht,Utrecht Padualaan,15:21,Utrecht,Utrecht CS Centrumzijde,Tram,Student Week Vrij (2e klas)
175,Student,3,2021-11-30,Voorburg,Voorburg,7:47,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2e klas)
181,Student,4,2021-12-01,Utrecht,Utrecht Botanische Tuinen,15:03,Utrecht,Utrecht Janskerkhof,Bus,Student Week Vrij (2e klas)
182,Student,4,2021-12-01,Utrecht,Utrecht Centraal,17:12,Voorburg,Voorburg,Train,Student Week Vrij (2e klas)
180,Student,4,2021-12-01,Utrecht,Utrecht CS Centrumzijde,8:05,Utrecht,Utrecht Padualaan,Tram,Student Week Vrij (2e klas)
179,Student,4,2021-12-01,Voorburg,Voorburg,7:49,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2e klas)
1025,Personal,7,2021-12-04,Amsterdam,Centraal Station,17:18,Amsterdam,Noord,Metro,Reizen op Rekening Bus Tram Metro
1024,Personal,7,2021-12-04,Den Haag,Den Haag Laan Van NOI,11:40,Amsterdam,Amsterdam Centraal,Train,Reizen op Rekening Trein
